,1.0,2.0,3.0,4.0,5.0,accuracy,macro avg,weighted avg
precision,1.0,0.9333333333333333,1.0,1.0,0.835820895522388,0.9007633587786259,0.9538308457711443,0.9115339333865027
recall,0.8,0.9032258064516129,0.5714285714285714,0.8666666666666667,0.9655172413793104,0.9007633587786259,0.8213676571852322,0.9007633587786259
f1-score,0.8888888888888888,0.9180327868852459,0.7272727272727273,0.9285714285714286,0.896,0.9007633587786259,0.8717531663236582,0.8993855937857941
support,5.0,31.0,7.0,30.0,58.0,0.9007633587786259,131.0,131.0
