n_samples,sr_hz,duration_s,mean,std,rms,rms_dbfs,peak_abs,crest_factor,zcr_mean,zcr_std,spectral_flux_mean,spectral_flux_std,top1_freq_hz,top1_power,top2_freq_hz,top2_power,top3_freq_hz,top3_power,dom_freq_hz,spectral_centroid_hz,spectral_spread_hz,spectral_skewness,spectral_kurtosis,spectral_flatness,spectral_entropy,rolloff85_hz,rolloff95_hz,band_0_250_ratio,band_250_500_ratio,band_500_2000_ratio,band_2000_5000_ratio,band_5000_8000_ratio,freq_p25_hz,freq_p50_hz,freq_p75_hz,path,nombre_archivo,clase
58887,16000.0,3.6804375,-0.006816020701080561,0.5635421276092529,0.5635833144187927,-4.980837463954644,0.9453125,1.677325207853028,0.16738566756248474,0.030604476109147072,0.5077080130577087,0.14760179817676544,1221.593900181704,3636746.75,1245.7758079032724,3100551.25,1240.8850849932924,2707920.0,1221.593900181704,1412.4211729167919,735.3969134267411,3.3681929231264265,17.81783234999715,0.05747867786899231,0.7731019683268014,1565.031331193642,2918.4030431164774,0.0020551372710186197,0.010421399756126989,0.8881073771074075,0.09228960903154868,0.007126476833898172,1144.4291609353509,1241.1567918216244,1346.3073343861972,data\raw\Training_data\126.wav,126.wav,5
96008,16000.0,6.0005,-0.020707909017801285,0.5457859039306641,0.5461786389350891,-5.253305782718377,0.9296875,1.7021674480215057,0.16108834743499756,0.05255478620529175,0.4863545000553131,0.16756373643875122,1050.2458128489293,5356272.5,1038.413465544538,4869453.5,1037.0802433130573,4597870.5,1050.2458128489293,1288.4307968669682,765.646676786867,2.9885357707193627,14.55699365424208,0.04819679995698872,0.7531143022064302,1600.1999833347222,2912.5906174485463,0.007898159646626069,0.008953624479620684,0.8498595112351967,0.12779621187715223,0.0054922805363795835,975.5853678860096,1049.0792433963836,1126.7394383801352,data\raw\Training_data\127.wav,127.wav,5
92005,16000.0,5.7503125,-0.007910320535302162,0.726959228515625,0.7270022630691528,-2.769284744664759,1.0,1.3755115366193564,0.17259114980697632,0.045998480170965195,0.5457280278205872,0.10976492613554001,1338.1881419488072,5142909.0,1337.666431172219,4526403.5,1331.2319982609642,4014530.25,1338.1881419488072,1475.2690001996934,818.4417102185541,2.720639914629805,14.31993473134878,0.05010042030618314,0.833038802801772,2078.8435411118962,2764.371501548829,0.010698430299787499,0.02241497422581745,0.7988859067708445,0.15659353040231183,0.011407158301238793,1093.1579805445358,1338.1881419488072,1575.5665452964515,data\raw\Training_data\128.wav,128.wav,5
98762,16000.0,6.172625,-0.0034245047718286514,0.6481439471244812,0.6481530070304871,-3.7664491953936077,1.0,1.5428455768206644,0.17787151038646698,0.04313594102859497,0.5222809314727783,0.1410062462091446,1464.368886818817,4890171.0,1467.9330106721209,4814403.5,1398.4325955326947,3985772.5,1464.368886818817,1682.9708764842694,1129.699248023085,2.485173317445901,10.516566433455688,0.14816758509523892,0.8367455414008776,2323.646746724449,4177.639172961261,0.023678829525271162,0.01804145782254981,0.7476402534163862,0.18433723968797877,0.02630221712816252,1159.3122861019422,1384.6621170085662,1604.9897733946254,data\raw\Training_data\129.wav,129.wav,5
80164,16000.0,5.01025,-0.012546155601739883,0.6343089938163757,0.6344330310821533,-3.952284280414671,0.9765625,1.5392680584966958,0.13375119864940643,0.0399898961186409,0.5070213675498962,0.12289942800998688,706.5515692829699,10725350.0,706.7511601217503,8524271.0,706.3519784441894,7145162.0,706.5515692829699,1225.287145899446,935.7471054198378,2.84099822855154,13.437046276348653,0.08714791458553768,0.784607054356689,2078.9381767376876,3049.5484257272587,0.008121046755016655,0.028706716417697304,0.804968341232355,0.1456918078203691,0.012512087774561986,722.3192455466294,837.4831595229779,1202.1356219749512,data\raw\Training_data\130.wav,130.wav,5
115119,16000.0,7.1949375,-0.015039939433336258,0.6011521816253662,0.6013402938842773,-4.417593889985302,0.984375,1.6369683023260608,0.16228856146335602,0.037915393710136414,0.5330890417098999,0.12711027264595032,1129.1272509316445,5626582.5,1138.8563139012674,5095156.0,1014.8802543455033,4961297.0,1129.1272509316445,1441.1758773092681,884.3640350894564,3.0718827284294394,15.065372102481458,0.09210896605873876,0.8149980213568147,2018.91955281057,3368.618559924947,0.004190689838776396,0.013106424511016783,0.831708178258036,0.13826987825412476,0.012724829138046073,1048.9319747391828,1188.057575204788,1357.2042842623719,data\raw\Training_data\131.wav,131.wav,5
117980,16000.0,7.37375,-0.0035138370003551245,0.6276164650917053,0.6276262998580933,-4.045977323246573,1.0,1.5933048061021355,0.1706136018037796,0.04920896142721176,0.5276964902877808,0.13080933690071106,1.0849296490930667,11550062.0,1.2205458552297,5963883.5,7.3232751313782,5943968.0,1.0849296490930667,1631.3139922405874,1175.5754308941205,2.1752178499503674,9.476373629160639,0.15350933016868093,0.8483754192804566,2347.3809120189862,4189.32022376674,0.06973693109221801,0.016613619509442918,0.7051193595570555,0.1811650437155949,0.02736504133262296,1136.0569588065775,1329.988133581963,1746.872351245974,data\raw\Training_data\132.wav,132.wav,5
120646,16000.0,7.540375,-0.007876348681747913,0.3537963330745697,0.3538840413093567,-9.022780435724234,0.8671875,2.4504849011880876,0.23376592993736267,0.11770862340927124,0.4988642632961273,0.1340174823999405,817.9964524310794,2264147.25,813.7526316661971,2209411.5,811.2328630870481,2143758.0,817.9964524310794,1041.4434803484376,528.9559470780059,3.972404269527732,26.402463932882217,0.02199833199045189,0.7617696767421972,1114.6660477761386,1909.7193441970726,0.004163419832882179,0.024496137521890646,0.9229592240865047,0.04686858222880565,0.0015125786873748232,821.577176201449,957.5120600765878,1029.2591548828807,data\raw\Training_data\133.wav,133.wav,5
174866,16000.0,10.929125,-0.009768953546881676,0.527147650718689,0.5272381901741028,-5.559862788418609,0.875,1.659591464174969,0.17462997138500214,0.09464569389820099,0.41898438334465027,0.15957382321357727,906.6599567668958,14074511.0,911.8753788615282,12884484.0,907.2089485663307,12712114.0,906.6599567668958,1099.2504456097743,576.0790133843651,3.9032229305351613,23.115729864054373,0.0242502188619625,0.7562366004202277,1277.0464241190398,2519.4148662404355,0.0017065996241797299,0.016233363427052106,0.9204920444080794,0.0591830857509004,0.0023849034683464496,876.7399036976885,926.1491656468381,1103.9310100305377,data\raw\Training_data\134.wav,134.wav,5
214035,16000.0,13.3771875,-0.0009304480045102537,0.26448601484298706,0.264487624168396,-11.551892890808018,0.59375,2.2449065504175225,0.11956913024187088,0.020948078483343124,0.50355464220047,0.17998749017715454,783.722288410774,3061454.25,1085.2804447870676,2671455.25,1056.3505968649988,2647016.75,783.722288410774,1028.91785039534,529.7505399965117,5.394044626849968,45.263621686924616,0.013521648058587238,0.7802993267531009,1153.2319480458805,1708.7298806270005,0.0013161061637850357,0.020046048374995885,0.9357446964716152,0.03855439126926341,0.0043387577203405185,794.038358212442,945.1164529165792,1085.6542154320557,data\raw\Training_data\135.wav,135.wav,5
