iter	Passed	Remaining
409	3987	10600
410	3997	10592
411	4009	10588
412	4022	10587
413	4033	10581
414	4043	10571
415	4053	10562
416	4062	10550
417	4075	10549
418	4085	10540
419	4094	10528
420	4102	10514
421	4111	10503
422	4121	10493
423	4130	10480
424	4138	10469
425	4148	10457
426	4156	10444
427	4168	10440
428	4180	10435
429	4189	10424
430	4197	10410
431	4205	10397
432	4213	10384
433	4222	10372
434	4232	10361
435	4240	10347
436	4248	10335
437	4257	10322
438	4265	10308
439	4273	10294
440	4281	10281
441	4289	10268
442	4298	10255
443	4306	10242
444	4315	10230
445	4323	10217
446	4333	10207
447	4341	10194
448	4350	10183
449	4362	10178
450	4373	10173
451	4383	10162
452	4392	10153
453	4401	10140
454	4409	10127
455	4418	10115
456	4426	10102
457	4435	10090
458	4443	10076
459	4450	10063
460	4459	10049
461	4466	10036
462	4475	10024
463	4484	10012
464	4493	10001
465	4502	9990
466	4511	9979
467	4519	9966
468	4527	9953
469	4536	9941
470	4544	9928
471	4552	9916
472	4560	9902
473	4568	9888
474	4577	9876
475	4585	9864
476	4596	9857
477	4605	9846
478	4614	9835
479	4623	9825
480	4632	9813
481	4641	9802
482	4651	9793
483	4661	9785
484	4671	9776
485	4680	9765
486	4689	9754
487	4698	9743
488	4708	9734
489	4718	9726
490	4727	9714
491	4735	9702
492	4745	9692
493	4754	9681
494	4762	9669
495	4772	9661
496	4782	9652
497	4791	9641
498	4800	9630
499	4808	9617
500	4816	9604
501	4824	9592
502	4833	9580
503	4842	9570
504	4850	9557
505	4858	9544
506	4866	9531
507	4874	9518
508	4884	9509
509	4893	9498
510	4902	9488
511	4911	9477
512	4921	9468
513	4929	9456
514	4937	9444
515	4946	9432
516	4954	9421
517	4964	9411
518	4972	9399
519	4981	9388
520	4989	9375
521	4998	9364
522	5007	9353
523	5015	9340
524	5022	9328
525	5031	9316
526	5039	9304
527	5048	9292
528	5056	9280
529	5064	9268
530	5072	9256
531	5081	9246
532	5089	9234
533	5097	9221
534	5106	9210
535	5114	9198
536	5122	9186
537	5131	9174
538	5138	9162
539	5147	9150
540	5158	9143
541	5167	9134
542	5179	9127
543	5189	9119
544	5198	9109
545	5207	9098
546	5215	9087
547	5225	9078
548	5234	9066
549	5241	9054
550	5250	9042
551	5258	9030
552	5266	9018
553	5274	9007
554	5282	8994
555	5290	8983
556	5300	8973
557	5308	8962
558	5316	8950
559	5325	8939
560	5334	8928
561	5342	8917
562	5350	8905
563	5359	8894
564	5367	8882
565	5376	8871
566	5384	8860
567	5392	8848
568	5401	8837
569	5410	8828
570	5420	8818
571	5429	8808
572	5438	8798
573	5447	8787
574	5457	8778
575	5466	8769
576	5475	8759
577	5484	8748
578	5493	8738
579	5509	8739
580	5537	8758
581	5551	8756
582	5565	8754
583	5576	8746
584	5584	8734
585	5593	8723
586	5602	8713
587	5611	8703
588	5619	8692
589	5628	8681
590	5637	8670
591	5646	8659
592	5654	8648
593	5663	8637
594	5671	8626
595	5678	8613
596	5686	8601
597	5694	8589
598	5703	8578
