iter	MultiClass
0	1.575555201
1	1.550325087
2	1.520263124
3	1.499871531
4	1.484890659
5	1.44042467
6	1.421956152
7	1.393560804
8	1.380306732
9	1.348164095
10	1.335630353
11	1.321734479
12	1.303662274
13	1.288170335
14	1.270662112
15	1.254464361
16	1.226347636
17	1.20847223
18	1.194860055
19	1.183531981
20	1.170964119
21	1.156671861
22	1.141299232
23	1.125448828
24	1.110452685
25	1.097827294
26	1.082278421
27	1.071103526
28	1.05404739
29	1.033203889
30	1.018531823
31	1.009062454
32	0.9925585335
33	0.9764236916
34	0.9619356724
35	0.9463644257
36	0.9333156484
37	0.9174029933
38	0.9081090963
39	0.896032389
40	0.8852019468
41	0.8768042281
42	0.8698424951
43	0.8616194565
44	0.85010247
45	0.8419405626
46	0.8348833334
47	0.8226292227
48	0.8129412011
49	0.8063407302
50	0.7989088092
51	0.7879265324
52	0.7822538929
53	0.7751765063
54	0.7692832442
55	0.7613177604
56	0.7552335176
57	0.7473944043
58	0.7400338253
59	0.7350499556
60	0.7277527504
61	0.7206843767
62	0.7141241104
63	0.7090140657
64	0.7051944613
65	0.7010078407
66	0.6962780097
67	0.689993085
68	0.6848425083
69	0.6815222215
70	0.6744025905
71	0.6668247984
72	0.65971288
73	0.6528521867
74	0.6482828562
75	0.6432207729
76	0.6393264839
77	0.6320701055
78	0.6289567002
79	0.6240898736
80	0.6189600067
81	0.6149894381
82	0.609380802
83	0.6050328018
84	0.5989930588
85	0.5952173433
86	0.5902374721
87	0.5864701733
88	0.5829149123
89	0.5783344073
90	0.5735151943
91	0.5688471117
92	0.5659118595
93	0.5618099936
94	0.5591414106
95	0.5558458165
96	0.5515892322
97	0.5471938496
98	0.5422608603
99	0.5377200011
100	0.5345871609
101	0.529251799
102	0.5257407098
103	0.5228831817
104	0.5189950639
105	0.5146137279
106	0.5118479957
107	0.5061555729
108	0.5033602966
109	0.4997062954
110	0.497216961
111	0.493843239
112	0.4896711955
113	0.4851357029
114	0.4817759876
115	0.4791757023
116	0.4763341533
117	0.4740917197
118	0.4696111257
119	0.4662780639
120	0.4613999795
121	0.4583578506
122	0.4563719804
123	0.4534253881
124	0.450803584
125	0.4442229934
126	0.4415445545
127	0.4388418017
128	0.4356499569
129	0.4328739238
130	0.4294139503
131	0.4258168851
132	0.4226162482
133	0.4194691086
134	0.4171593722
135	0.4117562294
136	0.4089802563
137	0.4049698758
138	0.4012146403
139	0.3980567353
140	0.3955860372
141	0.3921235982
142	0.3882821059
143	0.3844863909
144	0.380812116
145	0.3778051803
146	0.3745793155
147	0.3715989039
148	0.3679333056
149	0.3640989454
150	0.3596825441
151	0.3582149025
152	0.3541195893
153	0.3517718863
154	0.3484955621
155	0.3449924873
156	0.3409383417
157	0.3384868162
158	0.3357620469
159	0.3327313158
160	0.3289392638
161	0.3258821209
162	0.322252346
163	0.3202773586
164	0.3172160707
165	0.3139057533
166	0.3116815344
167	0.3086356132
168	0.3058139705
169	0.3032747071
170	0.3003913866
171	0.297561472
172	0.2949933658
173	0.2926228958
174	0.2898179316
175	0.287846041
176	0.2859295443
177	0.2839625343
178	0.2816723791
179	0.2795706579
180	0.2772481094
181	0.2752238311
182	0.2732737959
183	0.2711048316
184	0.2687481603
185	0.2670954262
186	0.265088056
187	0.2624302582
188	0.260428254
189	0.2585357889
190	0.2562876397
191	0.2538510592
192	0.2529130075
193	0.2510922002
194	0.2494132694
195	0.2471664026
196	0.2451581489
197	0.2432292585
198	0.2414484296
199	0.2392276899
200	0.2375402244
201	0.2356493638
202	0.2341484503
203	0.2328656034
204	0.2310574545
205	0.2292856196
206	0.2279667027
207	0.2265650235
208	0.2251674194
209	0.2230271518
210	0.2210932371
211	0.2193776988
212	0.2176675387
213	0.2165969496
214	0.2151395704
215	0.2135916647
216	0.2117923718
217	0.2107507571
218	0.2090474756
219	0.2078829817
220	0.2064398729
221	0.2047888811
222	0.2039502056
223	0.2023294255
224	0.200798224
225	0.1993557074
226	0.1984577452
227	0.1972198426
228	0.1959069915
229	0.1947985515
230	0.1936397116
231	0.1924472256
232	0.1913171591
233	0.1904169754
234	0.1890300096
235	0.1880091721
236	0.1869273468
237	0.1856716355
238	0.1844094657
239	0.1832901675
240	0.1821239165
241	0.1813561054
242	0.1801005767
243	0.1792704787
244	0.1785095424
245	0.1778587769
246	0.1763706825
247	0.1753642963
248	0.1745749006
249	0.1737825321
250	0.1725685375
251	0.1716532699
252	0.1707342636
253	0.169543061
254	0.1686099489
255	0.1677184176
256	0.1669073848
257	0.1661612702
258	0.1652604475
259	0.1644726268
260	0.1638022157
261	0.162966087
262	0.1622278523
263	0.1615231519
264	0.160721893
265	0.1598984443
266	0.1590244888
267	0.158021604
268	0.1573980328
269	0.1566397649
270	0.1559642958
271	0.1552697287
272	0.1544787698
273	0.1538699911
274	0.1531289019
275	0.1524031226
276	0.1515110557
277	0.1507821284
278	0.149917741
279	0.1494299819
280	0.1487630665
281	0.1480779842
282	0.1475309517
283	0.146729117
284	0.1461073741
285	0.1455551441
286	0.1448589423
287	0.1443022439
288	0.143456395
289	0.1428641578
290	0.1420540195
291	0.1414958037
292	0.1407746138
293	0.1404383526
294	0.139990663
295	0.1394340366
296	0.1387685318
297	0.1383103194
298	0.1376367124
299	0.1370359296
300	0.1365060889
301	0.1360234927
302	0.1354679346
303	0.1349472589
304	0.134624413
305	0.1343520214
306	0.1339111454
307	0.1333098748
308	0.1326626866
309	0.1321967968
310	0.131824467
311	0.1313542793
312	0.1309575157
313	0.1304501978
314	0.130097768
315	0.1297271309
316	0.1293061329
317	0.1288153044
318	0.1283535988
319	0.12760636
320	0.1268168741
321	0.1264545711
322	0.1259796378
323	0.1254587616
324	0.1251421647
325	0.12446881
326	0.1240505598
327	0.1235824687
328	0.1232977529
329	0.1227236587
330	0.1224616641
331	0.1220172445
332	0.1215387201
333	0.1208491662
334	0.1204419576
335	0.1198696478
336	0.1194454822
337	0.1191322346
338	0.1186084388
339	0.1180981041
340	0.1176427998
341	0.117042979
342	0.1166701498
343	0.1163097688
344	0.1157521746
345	0.1153123634
346	0.114908068
347	0.1147270133
348	0.1143678458
349	0.1139336111
350	0.1135277834
351	0.1129771019
352	0.1125759606
353	0.1122613736
354	0.1119702774
355	0.111678235
356	0.1114137285
357	0.111120892
358	0.1106141356
359	0.1102659209
360	0.1099458985
361	0.1095048959
362	0.1093102097
363	0.1088826572
364	0.1085614716
365	0.1083257982
366	0.1080942712
367	0.1077714628
368	0.1075389943
369	0.107027546
370	0.1066219202
371	0.1062890706
372	0.1058230042
373	0.1054113116
374	0.1050511122
375	0.104837996
376	0.1045378637
377	0.1043577805
378	0.1041350388
379	0.1038554819
380	0.1036078462
381	0.1033994326
382	0.1030987472
383	0.1028579171
384	0.1025269756
385	0.1022320993
386	0.1020551293
387	0.1017206299
388	0.1013880672
389	0.1010534598
390	0.1009181884
391	0.100672777
392	0.1003727131
393	0.1000880421
394	0.09987040129
395	0.09966313624
396	0.09930896935
397	0.09907520473
398	0.09870731698
399	0.09857568804
400	0.0982858498
401	0.09801160987
402	0.09768347227
403	0.09734449101
404	0.09700856478
405	0.09676394003
406	0.09655274067
407	0.09641212246
408	0.09623225064
409	0.09600381326
410	0.09580769757
411	0.09561822403
412	0.09528709106
413	0.09495908205
414	0.09479752279
415	0.09462126485
416	0.09447681775
417	0.09434789912
418	0.09417079414
419	0.09395271585
420	0.09375083914
421	0.0935316443
422	0.09337799057
423	0.09316906955
424	0.09288642862
425	0.0926766769
426	0.09250170803
427	0.09226870817
428	0.09206543117
429	0.09182103491
430	0.09167768482
431	0.09153286346
432	0.09137289091
433	0.09122493863
434	0.09104092477
435	0.09091322992
436	0.0907520836
437	0.0904547762
438	0.09028741096
439	0.09007400868
440	0.08984137512
441	0.08968679611
442	0.08952109841
443	0.08932066436
444	0.08923496501
445	0.08905598716
446	0.0888905769
447	0.08869015439
448	0.0884892125
449	0.08831788501
450	0.08799598872
451	0.08785322545
452	0.08764081525
453	0.08745952795
454	0.08728395962
455	0.08706478752
456	0.08695201984
457	0.08673874268
458	0.08659597199
459	0.08641982382
460	0.08633405648
461	0.0861423556
462	0.08600232213
463	0.08581879068
464	0.08565492783
465	0.08542968753
466	0.08523902282
467	0.08497633862
468	0.08483269726
469	0.08472604365
470	0.0845733493
471	0.0843581812
472	0.08422174206
