,1.0,2.0,3.0,4.0,5.0,accuracy,macro avg,weighted avg
precision,1.0,0.84375,1.0,0.9285714285714286,0.8412698412698413,0.8702290076335878,0.9227182539682539,0.8763896461892645
recall,0.6,0.8709677419354839,0.7142857142857143,0.8666666666666667,0.9137931034482759,0.8702290076335878,0.7931426452672281,0.8702290076335878
f1-score,0.75,0.8571428571428571,0.8333333333333334,0.896551724137931,0.8760330578512396,0.8702290076335878,0.8426121944930722,0.8691697021700133
support,5.0,31.0,7.0,30.0,58.0,0.8702290076335878,131.0,131.0
